格点编号       	x坐标          	y坐标          	速度x          	速度y
44	4.875000E-01	0.000000E+00	9.992290E-01	-0.000000E+00
45	5.000000E-01	0.000000E+00	1.000000E+00	-0.000000E+00
46	5.125000E-01	0.000000E+00	9.992290E-01	0.000000E+00
47	5.250000E-01	0.000000E+00	9.969173E-01	0.000000E+00
48	5.375000E-01	0.000000E+00	9.930685E-01	0.000000E+00
49	5.500000E-01	0.000000E+00	9.876883E-01	0.000000E+00
50	5.625000E-01	0.000000E+00	9.807853E-01	0.000000E+00
51	5.750000E-01	0.000000E+00	9.723699E-01	0.000000E+00
52	5.875000E-01	0.000000E+00	9.624552E-01	0.000000E+00
53	6.000000E-01	0.000000E+00	9.510565E-01	0.000000E+00
54	6.125000E-01	0.000000E+00	9.381913E-01	0.000000E+00
55	6.250000E-01	0.000000E+00	9.238795E-01	0.000000E+00
56	6.375000E-01	0.000000E+00	9.081432E-01	0.000000E+00
57	6.500000E-01	0.000000E+00	8.910065E-01	0.000000E+00
58	6.625000E-01	0.000000E+00	8.724960E-01	0.000000E+00
59	6.750000E-01	0.000000E+00	8.526402E-01	0.000000E+00
60	6.875000E-01	0.000000E+00	8.314696E-01	0.000000E+00
61	7.000000E-01	0.000000E+00	8.090170E-01	0.000000E+00
62	7.125000E-01	0.000000E+00	7.853169E-01	0.000000E+00
63	7.250000E-01	0.000000E+00	7.604060E-01	0.000000E+00
64	7.375000E-01	0.000000E+00	7.343225E-01	0.000000E+00
65	7.500000E-01	0.000000E+00	7.071068E-01	0.000000E+00
66	7.625000E-01	0.000000E+00	6.788007E-01	0.000000E+00
67	7.750000E-01	0.000000E+00	6.494480E-01	0.000000E+00
68	7.875000E-01	0.000000E+00	6.190939E-01	0.000000E+00
69	8.000000E-01	0.000000E+00	5.877853E-01	0.000000E+00
70	8.125000E-01	0.000000E+00	5.555702E-01	0.000000E+00
71	8.250000E-01	0.000000E+00	5.224986E-01	0.000000E+00
72	8.375000E-01	0.000000E+00	4.886212E-01	0.000000E+00
73	8.500000E-01	0.000000E+00	4.539905E-01	0.000000E+00
74	8.625000E-01	0.000000E+00	4.186597E-01	0.000000E+00
75	8.750000E-01	0.000000E+00	3.826834E-01	0.000000E+00
76	8.875000E-01	0.000000E+00	3.461171E-01	0.000000E+00
77	9.000000E-01	0.000000E+00	3.090170E-01	0.000000E+00
78	9.125000E-01	0.000000E+00	2.714404E-01	0.000000E+00
79	9.250000E-01	0.000000E+00	2.334454E-01	0.000000E+00
80	9.375000E-01	0.000000E+00	1.950903E-01	0.000000E+00
81	9.500000E-01	0.000000E+00	1.564345E-01	0.000000E+00
82	9.625000E-01	0.000000E+00	1.175374E-01	0.000000E+00
83	9.750000E-01	0.000000E+00	7.845910E-02	0.000000E+00
84	9.875000E-01	0.000000E+00	3.925982E-02	0.000000E+00
85	1.000000E+00	1.250000E-02	1.223703E-16	3.925982E-02
86	1.000000E+00	2.500000E-02	1.220872E-16	7.845910E-02
87	1.000000E+00	3.750000E-02	1.216158E-16	1.175374E-01
88	1.000000E+00	5.000000E-02	1.209569E-16	1.564345E-01
89	1.000000E+00	6.250000E-02	1.201116E-16	1.950903E-01
90	1.000000E+00	7.500000E-02	1.190810E-16	2.334454E-01
91	1.000000E+00	8.750000E-02	1.178668E-16	2.714404E-01
92	1.000000E+00	1.000000E-01	1.164708E-16	3.090170E-01
93	1.000000E+00	1.125000E-01	1.148953E-16	3.461171E-01
94	1.000000E+00	1.250000E-01	1.131426E-16	3.826834E-01
95	1.000000E+00	1.375000E-01	1.112155E-16	4.186597E-01
96	1.000000E+00	1.500000E-01	1.091168E-16	4.539905E-01
97	1.000000E+00	1.625000E-01	1.068499E-16	4.886212E-01
98	1.000000E+00	1.750000E-01	1.044183E-16	5.224986E-01
99	1.000000E+00	1.875000E-01	1.018257E-16	5.555702E-01
100	1.000000E+00	2.000000E-01	9.907601E-17	5.877853E-01
101	1.000000E+00	2.125000E-01	9.617359E-17	6.190939E-01
102	1.000000E+00	2.250000E-01	9.312287E-17	6.494480E-01
103	1.000000E+00	2.375000E-01	8.992857E-17	6.788007E-01
104	1.000000E+00	2.500000E-01	8.659561E-17	7.071068E-01
105	1.000000E+00	2.625000E-01	8.312912E-17	7.343225E-01
106	1.000000E+00	2.750000E-01	7.953445E-17	7.604060E-01
107	1.000000E+00	2.875000E-01	7.581714E-17	7.853169E-01
108	1.000000E+00	3.000000E-01	7.198293E-17	8.090170E-01
109	1.000000E+00	3.125000E-01	6.803773E-17	8.314696E-01
110	1.000000E+00	3.250000E-01	6.398762E-17	8.526402E-01
111	1.000000E+00	3.375000E-01	5.983884E-17	8.724960E-01
112	1.000000E+00	3.500000E-01	5.559780E-17	8.910065E-01
113	1.000000E+00	3.625000E-01	5.127103E-17	9.081432E-01
114	1.000000E+00	3.750000E-01	4.686520E-17	9.238795E-01
115	1.000000E+00	3.875000E-01	4.238711E-17	9.381913E-01
116	1.000000E+00	4.000000E-01	3.784367E-17	9.510565E-01
117	1.000000E+00	4.125000E-01	3.324187E-17	9.624552E-01
118	1.000000E+00	4.250000E-01	2.858881E-17	9.723699E-01
119	1.000000E+00	4.375000E-01	2.389167E-17	9.807853E-01
120	1.000000E+00	4.500000E-01	1.915770E-17	9.876883E-01
121	1.000000E+00	4.625000E-01	1.439418E-17	9.930685E-01
122	1.000000E+00	4.750000E-01	9.608468E-18	9.969173E-01
123	1.000000E+00	4.875000E-01	4.807941E-18	9.992290E-01
124	1.000000E+00	5.000000E-01	5.023368E-28	1.000000E+00
125	1.000000E+00	5.125000E-01	-4.807941E-18	9.992290E-01
126	1.000000E+00	5.250000E-01	-9.608468E-18	9.969173E-01
127	1.000000E+00	5.375000E-01	-1.439418E-17	9.930685E-01
128	1.000000E+00	5.500000E-01	-1.915770E-17	9.876883E-01
129	1.000000E+00	5.625000E-01	-2.389167E-17	9.807853E-01
130	1.000000E+00	5.750000E-01	-2.858881E-17	9.723699E-01
131	1.000000E+00	5.875000E-01	-3.324187E-17	9.624552E-01
132	1.000000E+00	6.000000E-01	-3.784367E-17	9.510565E-01
133	1.000000E+00	6.125000E-01	-4.238711E-17	9.381913E-01
134	1.000000E+00	6.250000E-01	-4.686520E-17	9.238795E-01
135	1.000000E+00	6.375000E-01	-5.127103E-17	9.081432E-01
136	1.000000E+00	6.500000E-01	-5.559780E-17	8.910065E-01
137	1.000000E+00	6.625000E-01	-5.983884E-17	8.724960E-01
138	1.000000E+00	6.750000E-01	-6.398762E-17	8.526402E-01
139	1.000000E+00	6.875000E-01	-6.803773E-17	8.314696E-01
140	1.000000E+00	7.000000E-01	-7.198293E-17	8.090170E-01
141	1.000000E+00	7.125000E-01	-7.581714E-17	7.853169E-01
142	1.000000E+00	7.250000E-01	-7.953445E-17	7.604060E-01
143	1.000000E+00	7.375000E-01	-8.312912E-17	7.343225E-01
144	1.000000E+00	7.500000E-01	-8.659561E-17	7.071068E-01
145	1.000000E+00	7.625000E-01	-8.992857E-17	6.788007E-01
146	1.000000E+00	7.750000E-01	-9.312287E-17	6.494480E-01
147	1.000000E+00	7.875000E-01	-9.617359E-17	6.190939E-01
148	1.000000E+00	8.000000E-01	-9.907601E-17	5.877853E-01
149	1.000000E+00	8.125000E-01	-1.018257E-16	5.555702E-01
150	1.000000E+00	8.250000E-01	-1.044183E-16	5.224986E-01
151	1.000000E+00	8.375000E-01	-1.068499E-16	4.886212E-01
152	1.000000E+00	8.500000E-01	-1.091168E-16	4.539905E-01
153	1.000000E+00	8.625000E-01	-1.112155E-16	4.186597E-01
154	1.000000E+00	8.750000E-01	-1.131426E-16	3.826834E-01
155	1.000000E+00	8.875000E-01	-1.148953E-16	3.461171E-01
156	1.000000E+00	9.000000E-01	-1.164708E-16	3.090170E-01
157	1.000000E+00	9.125000E-01	-1.178668E-16	2.714404E-01
158	1.000000E+00	9.250000E-01	-1.190810E-16	2.334454E-01
159	1.000000E+00	9.375000E-01	-1.201116E-16	1.950903E-01
160	1.000000E+00	9.500000E-01	-1.209569E-16	1.564345E-01
161	1.000000E+00	9.625000E-01	-1.216158E-16	1.175374E-01
162	1.000000E+00	9.750000E-01	-1.220872E-16	7.845910E-02
163	1.000000E+00	9.875000E-01	-1.223703E-16	3.925982E-02
164	9.875000E-01	1.000000E+00	-3.925982E-02	1.223703E-16
165	9.750000E-01	1.000000E+00	-7.845910E-02	1.220872E-16
166	9.625000E-01	1.000000E+00	-1.175374E-01	1.216158E-16
167	9.500000E-01	1.000000E+00	-1.564345E-01	1.209569E-16
168	9.375000E-01	1.000000E+00	-1.950903E-01	1.201116E-16
169	9.250000E-01	1.000000E+00	-2.334454E-01	1.190810E-16
170	9.125000E-01	1.000000E+00	-2.714404E-01	1.178668E-16
171	9.000000E-01	1.000000E+00	-3.090170E-01	1.164708E-16
172	8.875000E-01	1.000000E+00	-3.461171E-01	1.148953E-16
173	8.750000E-01	1.000000E+00	-3.826834E-01	1.131426E-16
174	8.625000E-01	1.000000E+00	-4.186597E-01	1.112155E-16
175	8.500000E-01	1.000000E+00	-4.539905E-01	1.091168E-16
176	8.375000E-01	1.000000E+00	-4.886212E-01	1.068499E-16
177	8.250000E-01	1.000000E+00	-5.224986E-01	1.044183E-16
178	8.125000E-01	1.000000E+00	-5.555702E-01	1.018257E-16
179	8.000000E-01	1.000000E+00	-5.877853E-01	9.907601E-17
180	7.875000E-01	1.000000E+00	-6.190939E-01	9.617359E-17
181	7.750000E-01	1.000000E+00	-6.494480E-01	9.312287E-17
182	7.625000E-01	1.000000E+00	-6.788007E-01	8.992857E-17
183	7.500000E-01	1.000000E+00	-7.071068E-01	8.659561E-17
184	7.375000E-01	1.000000E+00	-7.343225E-01	8.312912E-17
185	7.250000E-01	1.000000E+00	-7.604060E-01	7.953445E-17
186	7.125000E-01	1.000000E+00	-7.853169E-01	7.581714E-17
187	7.000000E-01	1.000000E+00	-8.090170E-01	7.198293E-17
188	6.875000E-01	1.000000E+00	-8.314696E-01	6.803773E-17
189	6.750000E-01	1.000000E+00	-8.526402E-01	6.398762E-17
190	6.625000E-01	1.000000E+00	-8.724960E-01	5.983884E-17
191	6.500000E-01	1.000000E+00	-8.910065E-01	5.559780E-17
192	6.375000E-01	1.000000E+00	-9.081432E-01	5.127103E-17
193	6.250000E-01	1.000000E+00	-9.238795E-01	4.686520E-17
194	6.125000E-01	1.000000E+00	-9.381913E-01	4.238711E-17
195	6.000000E-01	1.000000E+00	-9.510565E-01	3.784367E-17
196	5.875000E-01	1.000000E+00	-9.624552E-01	3.324187E-17
197	5.750000E-01	1.000000E+00	-9.723699E-01	2.858881E-17
198	5.625000E-01	1.000000E+00	-9.807853E-01	2.389167E-17
199	5.500000E-01	1.000000E+00	-9.876883E-01	1.915770E-17
200	5.375000E-01	1.000000E+00	-9.930685E-01	1.439418E-17
201	5.250000E-01	1.000000E+00	-9.969173E-01	9.608468E-18
202	5.125000E-01	1.000000E+00	-9.992290E-01	4.807941E-18
203	5.000000E-01	1.000000E+00	-1.000000E+00	7.920320E-28
204	4.875000E-01	1.000000E+00	-9.992290E-01	-4.807941E-18
205	4.750000E-01	1.000000E+00	-9.969173E-01	-9.608468E-18
206	4.625000E-01	1.000000E+00	-9.930685E-01	-1.439418E-17
207	4.500000E-01	1.000000E+00	-9.876883E-01	-1.915770E-17
208	4.375000E-01	1.000000E+00	-9.807853E-01	-2.389167E-17
209	4.250000E-01	1.000000E+00	-9.723699E-01	-2.858881E-17
210	4.125000E-01	1.000000E+00	-9.624552E-01	-3.324187E-17
211	4.000000E-01	1.000000E+00	-9.510565E-01	-3.784367E-17
212	3.875000E-01	1.000000E+00	-9.381913E-01	-4.238711E-17
213	3.750000E-01	1.000000E+00	-9.238795E-01	-4.686520E-17
214	3.625000E-01	1.000000E+00	-9.081432E-01	-5.127103E-17
215	3.500000E-01	1.000000E+00	-8.910065E-01	-5.559780E-17
216	3.375000E-01	1.000000E+00	-8.724960E-01	-5.983884E-17
217	3.250000E-01	1.000000E+00	-8.526402E-01	-6.398762E-17
218	3.125000E-01	1.000000E+00	-8.314696E-01	-6.803773E-17
219	3.000000E-01	1.000000E+00	-8.090170E-01	-7.198293E-17
220	2.875000E-01	1.000000E+00	-7.853169E-01	-7.581714E-17
221	2.750000E-01	1.000000E+00	-7.604060E-01	-7.953445E-17
222	2.625000E-01	1.000000E+00	-7.343225E-01	-8.312912E-17
223	2.500000E-01	1.000000E+00	-7.071068E-01	-8.659561E-17
224	2.375000E-01	1.000000E+00	-6.788007E-01	-8.992857E-17
225	2.250000E-01	1.000000E+00	-6.494480E-01	-9.312287E-17
226	2.125000E-01	1.000000E+00	-6.190939E-01	-9.617359E-17
227	2.000000E-01	1.000000E+00	-5.877853E-01	-9.907601E-17
228	1.875000E-01	1.000000E+00	-5.555702E-01	-1.018257E-16
229	1.750000E-01	1.000000E+00	-5.224986E-01	-1.044183E-16
230	1.625000E-01	1.000000E+00	-4.886212E-01	-1.068499E-16
231	1.500000E-01	1.000000E+00	-4.539905E-01	-1.091168E-16
232	1.375000E-01	1.000000E+00	-4.186597E-01	-1.112155E-16
233	1.250000E-01	1.000000E+00	-3.826834E-01	-1.131426E-16
234	1.125000E-01	1.000000E+00	-3.461171E-01	-1.148953E-16
235	1.000000E-01	1.000000E+00	-3.090170E-01	-1.164708E-16
236	8.750000E-02	1.000000E+00	-2.714404E-01	-1.178668E-16
237	7.500000E-02	1.000000E+00	-2.334454E-01	-1.190810E-16
238	6.250000E-02	1.000000E+00	-1.950903E-01	-1.201116E-16
239	5.000000E-02	1.000000E+00	-1.564345E-01	-1.209569E-16
240	3.750000E-02	1.000000E+00	-1.175374E-01	-1.216158E-16
241	2.500000E-02	1.000000E+00	-7.845910E-02	-1.220872E-16
242	1.250000E-02	1.000000E+00	-3.925982E-02	-1.223703E-16
243	0.000000E+00	9.875000E-01	-0.000000E+00	-3.925982E-02
244	0.000000E+00	9.750000E-01	-0.000000E+00	-7.845910E-02
245	0.000000E+00	9.625000E-01	-0.000000E+00	-1.175374E-01
246	0.000000E+00	9.500000E-01	-0.000000E+00	-1.564345E-01
247	0.000000E+00	9.375000E-01	-0.000000E+00	-1.950903E-01
248	0.000000E+00	9.250000E-01	-0.000000E+00	-2.334454E-01
249	0.000000E+00	9.125000E-01	-0.000000E+00	-2.714404E-01
250	0.000000E+00	9.000000E-01	-0.000000E+00	-3.090170E-01
251	0.000000E+00	8.875000E-01	-0.000000E+00	-3.461171E-01
252	0.000000E+00	8.750000E-01	-0.000000E+00	-3.826834E-01
253	0.000000E+00	8.625000E-01	-0.000000E+00	-4.186597E-01
254	0.000000E+00	8.500000E-01	-0.000000E+00	-4.539905E-01
255	0.000000E+00	8.375000E-01	-0.000000E+00	-4.886212E-01
256	0.000000E+00	8.250000E-01	-0.000000E+00	-5.224986E-01
257	0.000000E+00	8.125000E-01	-0.000000E+00	-5.555702E-01
258	0.000000E+00	8.000000E-01	-0.000000E+00	-5.877853E-01
259	0.000000E+00	7.875000E-01	-0.000000E+00	-6.190939E-01
260	0.000000E+00	7.750000E-01	-0.000000E+00	-6.494480E-01
261	0.000000E+00	7.625000E-01	-0.000000E+00	-6.788007E-01
262	0.000000E+00	7.500000E-01	-0.000000E+00	-7.071068E-01
263	0.000000E+00	7.375000E-01	-0.000000E+00	-7.343225E-01
264	0.000000E+00	7.250000E-01	-0.000000E+00	-7.604060E-01
265	0.000000E+00	7.125000E-01	-0.000000E+00	-7.853169E-01
266	0.000000E+00	7.000000E-01	-0.000000E+00	-8.090170E-01
267	0.000000E+00	6.875000E-01	-0.000000E+00	-8.314696E-01
268	0.000000E+00	6.750000E-01	-0.000000E+00	-8.526402E-01
269	0.000000E+00	6.625000E-01	-0.000000E+00	-8.724960E-01
270	0.000000E+00	6.500000E-01	-0.000000E+00	-8.910065E-01
271	0.000000E+00	6.375000E-01	-0.000000E+00	-9.081432E-01
272	0.000000E+00	6.250000E-01	-0.000000E+00	-9.238795E-01
273	0.000000E+00	6.125000E-01	-0.000000E+00	-9.381913E-01
274	0.000000E+00	6.000000E-01	-0.000000E+00	-9.510565E-01
275	0.000000E+00	5.875000E-01	-0.000000E+00	-9.624552E-01
276	0.000000E+00	5.750000E-01	-0.000000E+00	-9.723699E-01
277	0.000000E+00	5.625000E-01	-0.000000E+00	-9.807853E-01
278	0.000000E+00	5.500000E-01	-0.000000E+00	-9.876883E-01
279	0.000000E+00	5.375000E-01	-0.000000E+00	-9.930685E-01
280	0.000000E+00	5.250000E-01	-0.000000E+00	-9.969173E-01
281	0.000000E+00	5.125000E-01	-0.000000E+00	-9.992290E-01
282	0.000000E+00	5.000000E-01	-0.000000E+00	-1.000000E+00
283	0.000000E+00	4.875000E-01	0.000000E+00	-9.992290E-01
284	0.000000E+00	4.750000E-01	0.000000E+00	-9.969173E-01
285	0.000000E+00	4.625000E-01	0.000000E+00	-9.930685E-01
286	0.000000E+00	4.500000E-01	0.000000E+00	-9.876883E-01
287	0.000000E+00	4.375000E-01	0.000000E+00	-9.807853E-01
288	0.000000E+00	4.250000E-01	0.000000E+00	-9.723699E-01
289	0.000000E+00	4.125000E-01	0.000000E+00	-9.624552E-01
290	0.000000E+00	4.000000E-01	0.000000E+00	-9.510565E-01
291	0.000000E+00	3.875000E-01	0.000000E+00	-9.381913E-01
292	0.000000E+00	3.750000E-01	0.000000E+00	-9.238795E-01
293	0.000000E+00	3.625000E-01	0.000000E+00	-9.081432E-01
294	0.000000E+00	3.500000E-01	0.000000E+00	-8.910065E-01
295	0.000000E+00	3.375000E-01	0.000000E+00	-8.724960E-01
296	0.000000E+00	3.250000E-01	0.000000E+00	-8.526402E-01
297	0.000000E+00	3.125000E-01	0.000000E+00	-8.314696E-01
298	0.000000E+00	3.000000E-01	0.000000E+00	-8.090170E-01
299	0.000000E+00	2.875000E-01	0.000000E+00	-7.853169E-01
300	0.000000E+00	2.750000E-01	0.000000E+00	-7.604060E-01
301	0.000000E+00	2.625000E-01	0.000000E+00	-7.343225E-01
302	0.000000E+00	2.500000E-01	0.000000E+00	-7.071068E-01
303	0.000000E+00	2.375000E-01	0.000000E+00	-6.788007E-01
304	0.000000E+00	2.250000E-01	0.000000E+00	-6.494480E-01
305	0.000000E+00	2.125000E-01	0.000000E+00	-6.190939E-01
306	0.000000E+00	2.000000E-01	0.000000E+00	-5.877853E-01
307	0.000000E+00	1.875000E-01	0.000000E+00	-5.555702E-01
308	0.000000E+00	1.750000E-01	0.000000E+00	-5.224986E-01
309	0.000000E+00	1.625000E-01	0.000000E+00	-4.886212E-01
310	0.000000E+00	1.500000E-01	0.000000E+00	-4.539905E-01
311	0.000000E+00	1.375000E-01	0.000000E+00	-4.186597E-01
312	0.000000E+00	1.250000E-01	0.000000E+00	-3.826834E-01
313	0.000000E+00	1.125000E-01	0.000000E+00	-3.461171E-01
314	0.000000E+00	1.000000E-01	0.000000E+00	-3.090170E-01
315	0.000000E+00	8.750000E-02	0.000000E+00	-2.714404E-01
316	0.000000E+00	7.500000E-02	0.000000E+00	-2.334454E-01
317	0.000000E+00	6.250000E-02	0.000000E+00	-1.950903E-01
318	0.000000E+00	5.000000E-02	0.000000E+00	-1.564345E-01
319	0.000000E+00	3.750000E-02	0.000000E+00	-1.175374E-01
320	0.000000E+00	2.500000E-02	0.000000E+00	-7.845910E-02
321	0.000000E+00	1.250000E-02	0.000000E+00	-3.925982E-02
322	4.912281E-01	4.912281E-01	2.754388E-02	-2.754388E-02
323	4.824561E-01	4.824561E-01	5.500411E-02	-5.500411E-02
324	4.736842E-01	4.736842E-01	8.229730E-02	-8.229730E-02
325	4.649123E-01	4.649123E-01	1.093405E-01	-1.093405E-01
326	4.561404E-01	4.561404E-01	1.360517E-01	-1.360517E-01
327	4.473684E-01	4.473684E-01	1.623497E-01	-1.623497E-01
328	4.385965E-01	4.385965E-01	1.881547E-01	-1.881547E-01
329	4.298246E-01	4.298246E-01	2.133882E-01	-2.133882E-01
330	4.210526E-01	4.210526E-01	2.379737E-01	-2.379737E-01
331	4.122807E-01	4.122807E-01	2.618365E-01	-2.618365E-01
332	4.035088E-01	4.035088E-01	2.849040E-01	-2.849040E-01
333	3.947368E-01	3.947368E-01	3.071064E-01	-3.071064E-01
334	3.859649E-01	3.859649E-01	3.283760E-01	-3.283760E-01
335	3.771930E-01	3.771930E-01	3.486484E-01	-3.486484E-01
336	3.684211E-01	3.684211E-01	3.678620E-01	-3.678620E-01
337	3.596491E-01	3.596491E-01	3.859583E-01	-3.859583E-01
338	3.508772E-01	3.508772E-01	4.028826E-01	-4.028826E-01
339	3.421053E-01	3.421053E-01	4.185832E-01	-4.185832E-01
340	3.333333E-01	3.333333E-01	4.330127E-01	-4.330127E-01
341	3.245614E-01	3.245614E-01	4.461271E-01	-4.461271E-01
342	3.157895E-01	3.157895E-01	4.578867E-01	-4.578867E-01
343	3.070175E-01	3.070175E-01	4.682556E-01	-4.682556E-01
344	2.982456E-01	2.982456E-01	4.772025E-01	-4.772025E-01
345	2.894737E-01	2.894737E-01	4.847001E-01	-4.847001E-01
346	2.807018E-01	2.807018E-01	4.907257E-01	-4.907257E-01
347	2.719298E-01	2.719298E-01	4.952610E-01	-4.952610E-01
348	2.631579E-01	2.631579E-01	4.982922E-01	-4.982922E-01
349	2.543860E-01	2.543860E-01	4.998102E-01	-4.998102E-01
350	2.456140E-01	2.456140E-01	4.998102E-01	-4.998102E-01
351	2.368421E-01	2.368421E-01	4.982922E-01	-4.982922E-01
352	2.280702E-01	2.280702E-01	4.952610E-01	-4.952610E-01
353	2.192982E-01	2.192982E-01	4.907257E-01	-4.907257E-01
354	2.105263E-01	2.105263E-01	4.847001E-01	-4.847001E-01
355	2.017544E-01	2.017544E-01	4.772025E-01	-4.772025E-01
356	1.929825E-01	1.929825E-01	4.682556E-01	-4.682556E-01
357	1.842105E-01	1.842105E-01	4.578867E-01	-4.578867E-01
358	1.754386E-01	1.754386E-01	4.461271E-01	-4.461271E-01
359	1.666667E-01	1.666667E-01	4.330127E-01	-4.330127E-01
360	1.578947E-01	1.578947E-01	4.185832E-01	-4.185832E-01
361	1.491228E-01	1.491228E-01	4.028826E-01	-4.028826E-01
362	1.403509E-01	1.403509E-01	3.859583E-01	-3.859583E-01
363	1.315789E-01	1.315789E-01	3.678620E-01	-3.678620E-01
364	1.228070E-01	1.228070E-01	3.486484E-01	-3.486484E-01
365	1.140351E-01	1.140351E-01	3.283760E-01	-3.283760E-01
366	1.052632E-01	1.052632E-01	3.071064E-01	-3.071064E-01
367	9.649123E-02	9.649123E-02	2.849040E-01	-2.849040E-01
368	8.771930E-02	8.771930E-02	2.618365E-01	-2.618365E-01
369	7.894737E-02	7.894737E-02	2.379737E-01	-2.379737E-01
370	7.017544E-02	7.017544E-02	2.133882E-01	-2.133882E-01
371	6.140351E-02	6.140351E-02	1.881547E-01	-1.881547E-01
372	5.263158E-02	5.263158E-02	1.623497E-01	-1.623497E-01
373	4.385965E-02	4.385965E-02	1.360517E-01	-1.360517E-01
374	3.508772E-02	3.508772E-02	1.093405E-01	-1.093405E-01
375	2.631579E-02	2.631579E-02	8.229730E-02	-8.229730E-02
376	1.754386E-02	1.754386E-02	5.500411E-02	-5.500411E-02
377	8.771930E-03	8.771930E-03	2.754388E-02	-2.754388E-02
378	9.912281E-01	8.771930E-03	2.754388E-02	2.754388E-02
379	9.824561E-01	1.754386E-02	5.500411E-02	5.500411E-02
380	9.736842E-01	2.631579E-02	8.229730E-02	8.229730E-02
381	9.649123E-01	3.508772E-02	1.093405E-01	1.093405E-01
382	9.561404E-01	4.385965E-02	1.360517E-01	1.360517E-01
383	9.473684E-01	5.263158E-02	1.623497E-01	1.623497E-01
384	9.385965E-01	6.140351E-02	1.881547E-01	1.881547E-01
385	9.298246E-01	7.017544E-02	2.133882E-01	2.133882E-01
386	9.210526E-01	7.894737E-02	2.379737E-01	2.379737E-01
387	9.122807E-01	8.771930E-02	2.618365E-01	2.618365E-01
388	9.035088E-01	9.649123E-02	2.849040E-01	2.849040E-01
389	8.947368E-01	1.052632E-01	3.071064E-01	3.071064E-01
390	8.859649E-01	1.140351E-01	3.283760E-01	3.283760E-01
391	8.771930E-01	1.228070E-01	3.486484E-01	3.486484E-01
392	8.684211E-01	1.315789E-01	3.678620E-01	3.678620E-01
393	8.596491E-01	1.403509E-01	3.859583E-01	3.859583E-01
394	8.508772E-01	1.491228E-01	4.028826E-01	4.028826E-01
395	8.421053E-01	1.578947E-01	4.185832E-01	4.185832E-01
396	8.333333E-01	1.666667E-01	4.330127E-01	4.330127E-01
397	8.245614E-01	1.754386E-01	4.461271E-01	4.461271E-01
398	8.157895E-01	1.842105E-01	4.578867E-01	4.578867E-01
399	8.070175E-01	1.929825E-01	4.682556E-01	4.682556E-01
